round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
1,0.51021,0.53144,0.51091,0.41512,0.51021,0.51021,0.51021,-0.24692,-0.33062,-0.06477,-0.0709,0.26803,0.02111,0.36317,0.03255,0.13816,0.07339,0.15285,0.08194
2,0.496,0.49601,0.49601,0.49599,0.496,0.496,0.496,-0.63266,-0.6193,-0.13213,-0.15467,0.93682,0.30416,0.97206,0.35277,0.58202,0.44988,0.59228,0.43761
3,0.49429,0.4932,0.49399,0.47897,0.49429,0.49429,0.49429,-0.4493,-0.41785,-0.11292,-0.14224,0.98373,0.53443,0.98857,0.57072,0.7442,0.63128,0.75691,0.61467
4,0.49971,0.49966,0.49966,0.49927,0.49971,0.49971,0.49971,-0.59526,-0.57676,-0.13199,-0.1581,0.94389,0.34864,0.97587,0.39912,0.61507,0.48308,0.6313,0.4732
5,0.50129,0.50136,0.50135,0.50063,0.50129,0.50129,0.50129,-0.63178,-0.62613,-0.12522,-0.14572,0.90335,0.27157,0.94984,0.32371,0.54465,0.41943,0.55894,0.41322
6,0.50314,0.50323,0.50285,0.48807,0.50314,0.50314,0.50314,-0.4403,-0.40463,-0.10294,-0.1309,0.9776,0.5373,0.9873,0.58267,0.73784,0.6349,0.75854,0.62764
7,0.51314,0.51319,0.51317,0.51299,0.51314,0.51314,0.51314,-0.59748,-0.58759,-0.11982,-0.14191,0.89816,0.30068,0.95048,0.36288,0.55984,0.44003,0.58699,0.44508
8,0.51993,0.51998,0.51996,0.51981,0.51993,0.51993,0.51993,-0.58025,-0.56937,-0.11132,-0.13521,0.88779,0.30754,0.94476,0.37539,0.55594,0.44463,0.59106,0.45584
9,0.52571,0.52772,0.52593,0.51803,0.52571,0.52571,0.52571,-0.57779,-0.60675,-0.10195,-0.11527,0.77558,0.19779,0.86921,0.26246,0.43933,0.33739,0.47358,0.3583
10,0.52907,0.53146,0.52882,0.51889,0.52907,0.52907,0.52907,-0.42934,-0.39171,-0.08153,-0.1067,0.94389,0.51455,0.97714,0.58543,0.6978,0.61628,0.74268,0.63598
11,0.5475,0.54759,0.54753,0.54737,0.5475,0.5475,0.5475,-0.50484,-0.5005,-0.08895,-0.10503,0.8338,0.32896,0.91746,0.41696,0.53993,0.45098,0.59756,0.49253
12,0.55121,0.55376,0.55102,0.54534,0.55121,0.55121,0.55121,-0.40774,-0.37965,-0.06804,-0.08594,0.89698,0.48924,0.9581,0.57844,0.65715,0.58911,0.71951,0.63357
13,0.55993,0.56388,0.55971,0.55252,0.55993,0.55993,0.55993,-0.37608,-0.34421,-0.05637,-0.07265,0.88991,0.51383,0.95429,0.61008,0.66455,0.60817,0.73455,0.66191
14,0.58829,0.58864,0.58834,0.58796,0.58829,0.58829,0.58829,-0.37124,-0.39346,-0.04265,-0.05808,0.72961,0.35837,0.86413,0.47066,0.49867,0.45602,0.59675,0.53866
15,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,-0.31703,-0.34051,-0.02607,-0.04689,0.71947,0.40244,0.86286,0.52235,0.5155,0.48943,0.62927,0.58238
16,0.59,0.60241,0.5897,0.57674,0.59,0.59,0.59,-0.22958,-0.22194,-0.00803,-0.01967,0.83616,0.60658,0.93778,0.71584,0.68138,0.67335,0.77846,0.75879
17,0.62779,0.62849,0.62772,0.6272,0.62779,0.62779,0.62779,-0.20194,-0.2365,0.01597,-0.00519,0.6794,0.47745,0.84952,0.61302,0.52823,0.5442,0.66951,0.66432
18,0.62979,0.67208,0.63021,0.60598,0.62979,0.62979,0.62979,-0.09377,-0.25322,0.02459,0.02945,0.31872,0.22494,0.57968,0.32647,0.23732,0.26191,0.36423,0.39367
19,0.66329,0.67652,0.66352,0.65705,0.66329,0.66329,0.66329,-0.05232,-0.19583,0.0417,0.03238,0.40075,0.34843,0.67937,0.48354,0.3371,0.37879,0.5065,0.53888
20,0.67029,0.67029,0.67028,0.67028,0.67029,0.67029,0.67029,-0.00727,-0.11177,0.07547,0.04625,0.50778,0.50051,0.75937,0.6476,0.4535,0.52897,0.64268,0.68893
21,0.67586,0.69189,0.6761,0.66913,0.67586,0.67586,0.67586,0.02319,-0.11915,0.06292,0.06302,0.34041,0.3636,0.62476,0.50561,0.31554,0.37846,0.49146,0.55448
22,0.68836,0.68859,0.68839,0.68828,0.68836,0.68836,0.68836,0.0807,-0.04918,0.0903,0.06975,0.42739,0.5081,0.70984,0.66066,0.42476,0.51506,0.62642,0.69618
23,0.64629,0.69607,0.64672,0.6227,0.64629,0.64629,0.64629,0.03378,-0.08673,0.0685,0.09906,0.2256,0.25938,0.46286,0.37613,0.20448,0.27298,0.3313,0.43036
24,0.69336,0.69336,0.69335,0.69335,0.69336,0.69336,0.69336,0.15444,0.0193,0.11213,0.09627,0.39557,0.55001,0.68127,0.70057,0.4301,0.54223,0.63374,0.73001
25,0.69221,0.6928,0.69217,0.69195,0.69221,0.69221,0.69221,0.18551,0.04729,0.12437,0.10418,0.39934,0.58485,0.68381,0.7311,0.44755,0.57191,0.65285,0.75703
26,0.69971,0.70305,0.69982,0.69855,0.69971,0.69971,0.69971,0.17173,0.04623,0.10882,0.11443,0.3173,0.48903,0.60063,0.64686,0.36604,0.47486,0.5622,0.67663
27,0.59007,0.68349,0.58946,0.52951,0.59007,0.59007,0.59007,0.23754,0.08016,0.07146,0.03957,0.69236,0.9299,0.88508,0.96524,0.81133,0.88279,0.92154,0.96112
28,0.6935,0.69589,0.6934,0.69249,0.6935,0.6935,0.6935,0.25572,0.11083,0.1442,0.12373,0.37812,0.63384,0.66349,0.77432,0.46233,0.60653,0.66911,0.79284
29,0.70186,0.70189,0.70187,0.70185,0.70186,0.70186,0.70186,0.24283,0.10837,0.13886,0.13425,0.32532,0.56815,0.61206,0.72043,0.40402,0.54289,0.60894,0.74319
30,0.69871,0.69939,0.69866,0.69842,0.69871,0.69871,0.69871,0.27222,0.12965,0.14713,0.13527,0.34041,0.61263,0.62794,0.75759,0.4342,0.58133,0.64065,0.77592
31,0.69229,0.70869,0.69252,0.68629,0.69229,0.69229,0.69229,0.19845,0.11305,0.11389,0.14685,0.22254,0.42099,0.4654,0.57844,0.28659,0.40048,0.45772,0.60457
32,0.70464,0.70475,0.70466,0.70462,0.70464,0.70464,0.70464,0.27249,0.14264,0.14002,0.14307,0.29986,0.57235,0.58349,0.72614,0.39848,0.5385,0.60122,0.74429
33,0.68821,0.70761,0.68848,0.68095,0.68821,0.68821,0.68821,0.20433,0.13247,0.11748,0.15621,0.2058,0.41013,0.43365,0.56612,0.27161,0.38909,0.43496,0.59117
34,0.70479,0.70484,0.7048,0.70477,0.70479,0.70479,0.70479,0.29188,0.16653,0.14579,0.15,0.28949,0.58137,0.56825,0.73478,0.39786,0.54365,0.6,0.75
35,0.70336,0.70499,0.70343,0.70281,0.70336,0.70336,0.70336,0.27966,0.17083,0.14008,0.15481,0.26143,0.54109,0.52698,0.69781,0.36502,0.50509,0.55894,0.71375
36,0.63929,0.70064,0.63976,0.60987,0.63929,0.63929,0.63929,0.1355,0.10108,0.0941,0.14757,0.13013,0.26563,0.28571,0.38679,0.16321,0.25731,0.26829,0.41586
37,0.70421,0.70504,0.70427,0.70395,0.70421,0.70421,0.70421,0.29506,0.18767,0.14153,0.15398,0.26355,0.55862,0.52762,0.71528,0.37692,0.51846,0.57317,0.72715
38,0.64793,0.7012,0.64837,0.62337,0.64793,0.64793,0.64793,0.15258,0.12221,0.09995,0.15096,0.13744,0.29002,0.29714,0.41935,0.17861,0.27856,0.2939,0.44486
39,0.70429,0.70447,0.70431,0.70423,0.70429,0.70429,0.70429,0.31475,0.202,0.14398,0.15298,0.26662,0.58137,0.53333,0.73533,0.39212,0.53609,0.59065,0.74363
40,0.69321,0.70547,0.69342,0.68872,0.69321,0.69321,0.69321,0.24941,0.18418,0.12649,0.16542,0.20509,0.4545,0.42921,0.61339,0.29645,0.42294,0.46463,0.63005
41,0.65907,0.68987,0.65872,0.64436,0.65907,0.65907,0.65907,0.41127,0.21945,0.15423,0.11769,0.41584,0.82712,0.69079,0.91024,0.60193,0.75616,0.78455,0.90224
42,0.70221,0.70262,0.70217,0.70204,0.70221,0.70221,0.70221,0.33946,0.20749,0.15363,0.15361,0.28689,0.62636,0.56444,0.77193,0.42332,0.57695,0.62561,0.77922
43,0.68679,0.69652,0.68659,0.68272,0.68679,0.68679,0.68679,0.3922,0.2226,0.16396,0.14129,0.33899,0.73119,0.62603,0.84863,0.50544,0.66941,0.70691,0.8482
44,0.69486,0.70516,0.69505,0.69111,0.69486,0.69486,0.69486,0.26284,0.19845,0.13029,0.1659,0.2058,0.46864,0.42984,0.62829,0.30404,0.43433,0.47602,0.64192
45,0.66214,0.69078,0.66181,0.64869,0.66214,0.66214,0.66214,0.41553,0.22012,0.1551,0.12068,0.40523,0.82076,0.68571,0.90583,0.59372,0.74882,0.77805,0.89873
46,0.705,0.70518,0.70502,0.70495,0.705,0.705,0.705,0.32273,0.21293,0.14609,0.15618,0.2612,0.58393,0.52571,0.73864,0.39088,0.53697,0.58943,0.74561
47,0.70521,0.7053,0.70523,0.7052,0.70521,0.70521,0.70521,0.32778,0.21709,0.14672,0.15657,0.26261,0.59039,0.52762,0.74471,0.3954,0.54212,0.59431,0.75088
48,0.68579,0.69688,0.68558,0.68114,0.68579,0.68579,0.68579,0.40083,0.23169,0.1615,0.1399,0.34041,0.74124,0.6254,0.85709,0.51447,0.67598,0.71423,0.85413
49,0.64429,0.68788,0.64387,0.62199,0.64429,0.64429,0.64429,0.4233,0.21688,0.14082,0.10247,0.44696,0.87026,0.71746,0.93434,0.65017,0.791,0.81911,0.92157
50,0.65021,0.68882,0.64983,0.63102,0.65021,0.65021,0.65021,0.4234,0.22103,0.14428,0.10513,0.43211,0.8555,0.7054,0.92643,0.63313,0.77741,0.80854,0.91366
